****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Thu Apr 28 16:02:32 2022
Hostname: aorus, Username: bborges, PID: 297210
Working_Directory : /home/bborges/github
Command_Line_Options : c17v3_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
6
#Measure moments
Statistic,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,1.434e-06,0.01181,0.7029,-1.582e-06,-0.0002114,0.6971
Mean,1.464e-06,0.01203,0.703,-1.585e-06,-0.0001722,0.6972
StdDev,1.404e-07,0.001046,0.0002912,2.176e-07,0.000341,0.000343
Skewness,-0.8095,1.985,-0.6798,0.07645,16.69,0.07744
Kurtosis,5.552,9.139,6.272,3.367,318.3,4.776
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
1.33e-06,0.01114,0.7028,-1.845e-06,-0.0002277,0.6968,-1.1,-1.2,-1.001
1.351e-06,0.01118,0.7028,-1.815e-06,-0.0002251,0.6968,-1,-1.096,-0.9047
1.37e-06,0.01123,0.7028,-1.786e-06,-0.0002229,0.6969,-0.9,-0.9925,-0.8081
1.388e-06,0.01127,0.7028,-1.747e-06,-0.0002207,0.6969,-0.8,-0.8894,-0.7111
1.403e-06,0.01133,0.7028,-1.709e-06,-0.0002191,0.6969,-0.7,-0.7868,-0.6135
1.412e-06,0.01139,0.7029,-1.663e-06,-0.0002184,0.697,-0.6,-0.6846,-0.5156
1.427e-06,0.01144,0.7029,-1.648e-06,-0.0002178,0.697,-0.5,-0.5829,-0.4173
1.438e-06,0.01149,0.7029,-1.634e-06,-0.0002168,0.697,-0.4,-0.4814,-0.3187
1.451e-06,0.01157,0.7029,-1.621e-06,-0.0002157,0.697,-0.3,-0.3804,-0.2198
1.464e-06,0.01163,0.703,-1.611e-06,-0.0002144,0.6971,-0.2,-0.2796,-0.1205
1.473e-06,0.01171,0.703,-1.6e-06,-0.000213,0.6971,-0.1,-0.1791,-0.02091
1.482e-06,0.01178,0.703,-1.586e-06,-0.0002115,0.6971,0,-0.07896,0.07896
1.491e-06,0.01191,0.703,-1.57e-06,-0.0002096,0.6971,0.1,0.02091,0.1791
1.501e-06,0.01198,0.7031,-1.557e-06,-0.0002065,0.6972,0.2,0.1205,0.2796
1.508e-06,0.01208,0.7031,-1.534e-06,-0.0002034,0.6972,0.3,0.2198,0.3804
1.516e-06,0.01218,0.7032,-1.516e-06,-0.0002009,0.6972,0.4,0.3187,0.4814
1.525e-06,0.01226,0.7032,-1.488e-06,-0.0001975,0.6973,0.5,0.4173,0.5829
1.535e-06,0.01235,0.7033,-1.467e-06,-0.0001949,0.6973,0.6,0.5156,0.6846
1.542e-06,0.01243,0.7033,-1.452e-06,-0.0001929,0.6974,0.7,0.6135,0.7868
1.554e-06,0.01251,0.7033,-1.435e-06,-0.0001897,0.6974,0.8,0.7111,0.8894
1.567e-06,0.01264,0.7034,-1.416e-06,-0.0001852,0.6975,0.9,0.8081,0.9925
1.581e-06,0.01277,0.7034,-1.386e-06,-0.0001808,0.6975,1,0.9047,1.096
1.6e-06,0.01295,0.7034,-1.368e-06,-0.0001753,0.6976,1.1,1.001,1.2
1.614e-06,0.01311,0.7034,-1.347e-06,-0.0001712,0.6976,1.2,1.096,1.305
1.624e-06,0.01326,0.7034,-1.314e-06,-0.000164,0.6976,1.3,1.191,1.411
1.636e-06,0.01347,0.7034,-1.283e-06,-0.0001572,0.6976,1.4,1.285,1.517
1.645e-06,0.01364,0.7035,-1.261e-06,-0.0001484,0.6977,1.5,1.378,1.625
1.652e-06,0.01389,0.7035,-1.238e-06,-0.0001394,0.6977,1.6,1.47,1.733
1.657e-06,0.0142,0.7035,-1.226e-06,-0.0001073,0.6977,1.7,1.561,1.843
1.661e-06,0.01444,0.7035,-1.183e-06,-6.28e-05,0.6978,1.8,1.65,1.955
1.673e-06,0.01478,0.7035,-1.158e-06,-3.359e-05,0.6978,1.9,1.739,2.069
1.684e-06,0.01501,0.7035,-1.14e-06,-2.205e-06,0.6978,2,1.825,2.185
1.69e-06,0.01529,0.7035,-1.096e-06,0.0002707,0.6979,2.1,1.909,2.305
1.697e-06,0.01552,0.7035,-1.051e-06,0.0004109,0.6979,2.2,1.991,2.428
1.8e-06,0.01576,0.7035,-1.023e-06,0.0005529,0.698,2.3,2.069,2.555
1.857e-06,0.01641,0.7035,-9.876e-07,0.0006281,0.6981,2.4,2.145,2.689
1.875e-06,0.01718,0.7035,-9.693e-07,0.0008718,0.6981,2.5,2.217,2.83
1.887e-06,0.0173,0.7035,-8.925e-07,0.001637,0.6982,2.6,2.285,2.981
1.905e-06,0.01736,0.7035,-8.734e-07,0.001809,0.6982,2.7,2.348,3.146
1.914e-06,0.01756,0.7035,-8.647e-07,0.002519,0.6983,2.8,2.405,3.329
1.922e-06,0.01781,0.7035,-8.584e-07,0.004713,0.6983,2.9,2.455,3.549
1.928e-06,0.01798,0.7035,-8.507e-07,0.006328,0.6984,3,2.5,3.82
1.932e-06,0.01799,0.7035,-8.395e-07,0.006522,0.6984,3.1,2.534,4.19
1.935e-06,0.018,0.7035,-8.282e-07,0.006716,0.6984,3.2,2.569,4.561
