****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Thu Apr 28 15:27:12 2022
Hostname: aorus, Username: bborges, PID: 287842
Working_Directory : /home/bborges/github
Command_Line_Options : c17v1_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
6
#Measure moments
Statistic,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,9.439e-07,0.7003,0.001022,-6.833e-07,0.6876,-0.001543
Mean,1.04e-06,0.7002,0.00106,-7.539e-07,0.6873,-0.001556
StdDev,1.603e-07,0.0002519,0.0001682,1.285e-07,0.00193,0.0003195
Skewness,0.3888,-22.17,3.15,-1.607,-2.548,0.2381
Kurtosis,2.582,595.3,29.02,5.514,19.4,7.366
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
9.79e-07,0.7002,0.0009999,-7.275e-07,0.6873,-0.00165,-0.3,-0.3804,-0.2198
9.969e-07,0.7003,0.001013,-7.2e-07,0.6874,-0.001617,-0.2,-0.2796,-0.1205
1.016e-06,0.7003,0.001025,-7.154e-07,0.6876,-0.001566,-0.1,-0.1791,-0.02091
1.034e-06,0.7003,0.001037,-7.114e-07,0.6878,-0.001505,0,-0.07896,0.07896
1.046e-06,0.7003,0.001051,-7.071e-07,0.6879,-0.001465,0.1,0.02091,0.1791
1.067e-06,0.7003,0.001065,-7.01e-07,0.688,-0.00143,0.2,0.1205,0.2796
1.09e-06,0.7003,0.001076,-6.945e-07,0.6881,-0.001409,0.3,0.2198,0.3804
1.109e-06,0.7003,0.001091,-6.894e-07,0.6883,-0.001385,0.4,0.3187,0.4814
1.121e-06,0.7003,0.001101,-6.846e-07,0.6884,-0.001359,0.5,0.4173,0.5829
1.132e-06,0.7003,0.00111,-6.797e-07,0.6885,-0.001338,0.6,0.5156,0.6846
1.148e-06,0.7003,0.001123,-6.765e-07,0.6886,-0.001316,0.7,0.6135,0.7868
1.161e-06,0.7003,0.001141,-6.722e-07,0.6887,-0.001296,0.8,0.7111,0.8894
1.177e-06,0.7003,0.001162,-6.689e-07,0.6888,-0.001282,0.9,0.8081,0.9925
1.197e-06,0.7003,0.001182,-6.663e-07,0.6889,-0.001266,1,0.9047,1.096
1.23e-06,0.7003,0.001213,-6.624e-07,0.689,-0.001246,1.1,1.001,1.2
1.25e-06,0.7003,0.001235,-6.608e-07,0.6891,-0.001232,1.2,1.096,1.305
1.269e-06,0.7003,0.001255,-6.588e-07,0.6892,-0.001213,1.3,1.191,1.411
1.284e-06,0.7003,0.001281,-6.551e-07,0.6894,-0.001199,1.4,1.285,1.517
1.302e-06,0.7003,0.001291,-6.524e-07,0.6895,-0.001186,1.5,1.378,1.625
1.32e-06,0.7003,0.001313,-6.508e-07,0.6895,-0.001169,1.6,1.47,1.733
1.336e-06,0.7003,0.001342,-6.479e-07,0.6896,-0.001153,1.7,1.561,1.843
1.352e-06,0.7003,0.001376,-6.39e-07,0.6896,-0.001138,1.8,1.65,1.955
1.382e-06,0.7003,0.001403,-6.119e-07,0.6897,-0.001127,1.9,1.739,2.069
1.397e-06,0.7004,0.001431,-5.885e-07,0.6897,-0.001106,2,1.825,2.185
1.402e-06,0.7004,0.001456,-5.628e-07,0.6898,-0.001093,2.1,1.909,2.305
1.409e-06,0.7004,0.001491,-5.51e-07,0.6899,-0.001039,2.2,1.991,2.428
1.414e-06,0.7004,0.00154,-5.38e-07,0.6899,-0.0009721,2.3,2.069,2.555
1.42e-06,0.7004,0.00167,-5.355e-07,0.69,-0.0009304,2.4,2.145,2.689
1.43e-06,0.7004,0.001691,-5.25e-07,0.69,-0.0009072,2.5,2.217,2.83
1.451e-06,0.7004,0.001769,-5.194e-07,0.6901,-0.0008535,2.6,2.285,2.981
1.485e-06,0.7004,0.001798,-5.094e-07,0.6902,-0.0006718,2.7,2.348,3.146
1.485e-06,0.7004,0.001935,-4.827e-07,0.6902,-0.0005619,2.8,2.405,3.329
1.527e-06,0.7004,0.002448,-4.658e-07,0.6903,0.0001036,2.9,2.455,3.549
1.558e-06,0.7004,0.002818,-4.498e-07,0.6903,0.0006026,3,2.5,3.82
1.558e-06,0.7004,0.002836,-4.34e-07,0.6903,0.0006738,3.1,2.534,4.19
1.559e-06,0.7004,0.002853,-4.183e-07,0.6903,0.0007451,3.2,2.569,4.561
